1, 1, 高尾 美奈, たかお みな, 高尾 美奈, N, 依存, 癒やし, 自, 防UP, 小, 肉便器予備軍穴ホール, 探索, 4, 最初から, 2014-11-05, 20-1
128, 427, 【制服】七宮 葉月, せいふく ななみや はづき, 七宮 葉月, HR, 執着, 献身, 敵, 攻DOWN, 中, 弟を想い始めた瞬間, イベント報酬, 1, 大好き。香澄お姉さま～女同士のイケナイ行為～, 2015-02-26, 20-128
129, 428, 【オナホ】井上 雫, おなほ いのうえ しずく, 井上 雫, R, 依存, バカ, 敵, 攻DOWN, 中, 肉オナホールがいいでしょ？, イベント, 4, オナホ界を救え！～降臨せし一人の勇者(ゴム)～, 2015-02-27, 20-129
130, 432, 【バイブ】星河 泉, ばいぶ ほしかわ いずみ, 星河 泉, R, 依存, 変態, 敵, 防DOWN, 中, 君ってば震えすぎだよぉ～♪, イベント, 4, オナホ界を救え！～降臨せし一人の勇者(ゴム)～, 2015-02-27, 20-130
131, 436, 【オナホ】雫＆泉, おなほ しずく・いずみ, N/A, R, 執着, 活発, 敵全, 防DOWN, 小, オナホとバイブ、どっちが好き？, イベント報酬, 1, オナホ界を救え！～降臨せし一人の勇者(ゴム)～, 2015-03-09, 20-131
132, 437, ぐちょ濡れJK・尾奈穂, ぐちょぬれじぇいけい おなほ, ぐちょ濡れJK・尾奈穂, HR, 依存, 淫乱, 全, 防UP, 中, 覚醒するフィット感, イベント, 4, オナホ界を救え！～降臨せし一人の勇者(ゴム)～, 2015-02-27, 20-132
133, 441, アクメスィング・灰風, あくめすぃんぐ ばいぶ, アクメスィング・灰風, HR, 執着, 乱暴, 全, 攻UP, 中, 昇天！高速回転ピストン, イベント, 4, オナホ界を救え！～降臨せし一人の勇者(ゴム)～, 2015-02-27, 20-133
134, 445, 尾奈穂＆灰風, おなほ・ばいぶ, N/A, SR, 狂気, バカ, 敵全, 攻DOWN, 中, オナホ界に平和を求めて, イベント報酬, 1, オナホ界を救え！～降臨せし一人の勇者(ゴム)～, 2015-03-09, 20-134
135, 446, 【オナシコ】小鈴, おなしこ こすず, 家鳴 小鈴, HR, 束縛, 腹黒, 自, 攻UP, 中, 小鈴味のシコシコふみゅみゅ！, イベント報酬, 2, オナホ界を救え！～降臨せし一人の勇者(ゴム)～, 2015-03-09, 20-135
136, 448, 主羽 依夜, ぬしはね いよ, 主羽 依夜, R, 執着, ツンデレ, 自, 攻UP, 中, 嫌い嫌い嫌い嫌い！！, バトル報酬, 4, 2015年03月バトルコンプ, 2015-03-02, 20-136
137, 452, 【コスプレ】古院 誠, こすぷれ こいん まこと, 古院 誠, HR, 狂気, 凶暴, 自, 攻UP, 大, アバターとしての自覚, 特別報酬, 2, ヤンデレ川柳, 2015-03-23, 20-137
138, 454, 名無 御影, ななし みかげ, 名無 御影, R, 束縛, 怪奇, 自, 防UP, 中, 情報が脳内に溢れて, イベント, 4, エンターテイナー！部活動リーグ～第２部～, 2015-03-12, 20-138
139, 458, 御庭 荵, ごてい しのぶ, 御庭 荵, R, 執着, ドジ, 敵, 防DOWN, 中, 忍法、床捻りの術, イベント, 4, エンターテイナー！部活動リーグ～第２部～, 2015-03-12, 20-139
140, 462, 伸咲 よもぎ, しんざき よもぎ, 伸咲 よもぎ, HR, 束縛, すきんしっぱー, 敵, 攻DOWN, 大, 密着ゴムニスト, イベント, 4, エンターテイナー！部活動リーグ～第２部～, 2015-03-12, 20-140
141, 466, 多根灯 円, たねあかり まどか, 多根灯 円, HR, 束縛, ツンデレ, 敵全, 防DOWN, 中, 邪魔する女はイリュージョン, イベント, 4, エンターテイナー！部活動リーグ～第２部～, 2015-03-12, 20-141
142, 470, 淀川 錬, よどかわ れん, 淀川 錬, HR, 依存, 抑圧ちゃん, 敵, 防DOWN, 大, 後味が悪いから先手を打つ, イベント報酬, 4, エンターテイナー！部活動リーグ～第２部～, 2015-03-22, 20-142
143, 474, 罠保 香美, わなやす こうみ, 罠保 香美, R, 依存, 癒やし, 自, 防UP, 中, ただ普通になりたいだけ, イベント報酬, 4, エンターテイナー！部活動リーグ～第２部～, 2015-03-22, 20-143
144, 478, 御影＆荵, みかげ・しのぶ, N/A, R, 執着, 怪奇, 敵, 攻DOWN, 中, 影があるから可愛いの, イベント報酬, 1, エンターテイナー！部活動リーグ～第２部～, 2015-03-22, 20-144
145, 479, よもぎ＆円, よもぎ・まどか, N/A, HR, 束縛, すきんしっぱー, 敵全, 防DOWN, 中, 伸縮自在のラブマジック, イベント報酬, 1, エンターテイナー！部活動リーグ～第２部～, 2015-03-22, 20-145
146, 480, 深名 千種, しんめい ちぐさ, 深名 千種, HR, 執着, 献身, 敵全, 防DOWN, 中, 私だけの応援対象, イベント報酬, 4, エンターテイナー！部活動リーグ～第２部～, 2015-03-22, 20-146
147, 484, 【着物】蒼龍寺 怜, きもの そうりゅうじ れい, 蒼龍寺 怜, R, 依存, ドジ, 自, 攻UP, 中, 真書道会への入り口, イベント, 4, ボク、こんなにおおきくなったよ！～師匠との再会～, 2015-03-24, 20-147
148, 488, 【ドレス】鳴神 真理, どれす なるかみ まり, 鳴神 真理, R, 執着, 清楚, 自, 防UP, 中, お嬢様リフレイン, イベント, 4, ボク、こんなにおおきくなったよ！～師匠との再会～, 2015-03-24, 20-148
149, 492, 【業界人】怜＆真理, ぎょうかいじん れい・まり, N/A, R, 束縛, 甘えん坊, 敵, 防DOWN, 中, 内にて昂ぶるシックネス, イベント報酬, 1, ボク、こんなにおおきくなったよ！～師匠との再会～, 2015-04-02, 20-149
150, 493, 否元 不慈美, いなもと ふじみ, 否元 不慈美, HR, 依存, 癒やし, 全, 防UP, 中, 今なら守れる大切な者, イベント, 4, ボク、こんなにおおきくなったよ！～師匠との再会～, 2015-03-24, 20-150
151, 497, 麻名部 唇, まなべ じゅん, 麻名部 唇, HR, 執着, 凶暴, 自, 狂乱, 大, 任務コード733355, イベント, 4, ボク、こんなにおおきくなったよ！～師匠との再会～, 2015-03-24, 20-151
152, 501, 【幼馴染】不慈美＆唇, おさななじみ ふじみ・じゅん, N/A, HR, 依存, 逆襲, 敵全, 防DOWN, 中, 分かたれた未来の道, イベント報酬, 1, ボク、こんなにおおきくなったよ！～師匠との再会～, 2015-04-02, 20-152
153, 502, お風呂で、香澄ちゃん, おふろでかすみちゃん, 仁科 香澄, HR, 狂気, 淫乱, 全, 攻UP, 中, 背中、流してあげるぅ♪, イベント報酬, 2, ボク、こんなにおおきくなったよ！～師匠との再会～, 2015-04-02, 20-153
154, 504, 吊瀬 絞, つるせ しまり, 吊瀬 絞, R, 狂気, 怪奇, 自, 狂乱, 中, 愛しのダーリンぶらぶらりん♪, イベント, 4, 血染めの桜・赤い階段～桐皇学園百不思議～, 2015-04-03, 20-154
155, 508, 華ちゃん？, はなちゃん？, 華ちゃん？, R, 狂気, 淫乱, 敵, 防DOWN, 中, 赤いフェチズム, イベント, 4, 血染めの桜・赤い階段～桐皇学園百不思議～, 2015-04-03, 20-155
156, 512, 【霊的】絞＆華ちゃん？, れいてき しまり・はなちゃん？, N/A, R, 執着, 怪奇, 敵, 攻DOWN, 中, 効いてる？霊的アプローチ, イベント報酬, 1, 血染めの桜・赤い階段～桐皇学園百不思議～, 2015-04-13, 20-156
157, 513, 毒神 希乃恋, どくがみ きのれ, 毒神 希乃恋, HR, 束縛, 狡猾, 自, 攻UP, 大, 君の熱いキノコをペロリ, イベント, 4, 血染めの桜・赤い階段～桐皇学園百不思議～, 2015-04-03, 20-157
158, 517, 佐賀島 紫陽花, さがしま あじさい, 佐賀島 紫陽花, HR, 執着, ツンデレ, 敵, 防DOWN, 大, 邪魔者ダウジング, イベント, 4, 血染めの桜・赤い階段～桐皇学園百不思議～, 2015-04-03, 20-158
159, 521, 【特殊】希乃恋＆紫陽花, とくしゅ きのれ・あじさい, N/A, HR, 依存, 腹黒, 敵, 攻DOWN, 大, 探して★盛る, イベント報酬, 1, 血染めの桜・赤い階段～桐皇学園百不思議～, 2015-04-13, 20-159
160, 522, 合わせ鏡の柏木さん, あわせかがみのかしわぎさん, 柏木 縁, HR, 狂気, 抑圧ちゃん, 自, 防UP, 大, 未来の自分とご対面, イベント報酬, 2, 血染めの桜・赤い階段～桐皇学園百不思議～, 2015-04-13, 20-160
161, 524, 【オタ姫】本多 美憂, をたひめ ほんだ みゆ, 本多 美憂, R, 依存, 甘えん坊, 自, 防UP, 中, おちんぽホイホイ♪, イベント, 4, オタサーの姫に告られた結果ｗｗｗｗｗコラボ, 2015-04-09, 20-161
162, 528, 【卒業】高尾 美奈, そつぎょう たかお みな, 高尾 美奈, R, 依存, 癒やし, 自, 攻UP, 中, 私、ビッチを卒業します！, バトル報酬, 4, 2015年04月バトルコンプ, 2015-04-02, 20-162
163, 532, 甘依 芳味, あまい よしみ, 甘依 芳味, R, 依存, 癒やし, 自, 狂乱, 中, 噛み噛みご飯を召し上がれ, 探索, 4, 普通探索エリア7, 2015-06-09, 20-163
164, 536, 斑目 葵, まだらめ あおい, 斑目 葵, R, 狂気, 清楚, 自, 狡猾, 中, 血に飢えた蛭, イベント, 4, 精神病質～サイコパス～, 2015-04-17, 20-164
165, 540, 廻渡 かげり, みわたり かげり, 廻渡 かげり, R, 執着, 甘えん坊, 敵, 防DOWN, 中, 無垢なる悪魔, イベント, 4, 精神病質～サイコパス～, 2015-04-17, 20-165
166, 544, 【自愛】葵＆かげり, じあい あおい・かげり, N/A, R, 束縛, ぷんぷん, 自, 攻UP, 中, 鈴音様への忠誠, イベント報酬, 1, 精神病質～サイコパス～, 2015-04-27, 20-166
167, 545, 追い詰められた香澄, おいつめられた かすみ, 仁科 香澄, HR, 狂気, 凶暴, 全, 防UP, 大, 愛に染まる黒真珠, イベント, 4, 精神病質～サイコパス～, 2015-04-17, 20-167
168, 549, 忌家 鈴音, いけ すずね, 忌家 鈴音, HR, 依存, 怪奇, 全, 攻UP, 大, 冒涜のレゾンデートル, イベント, 4, 精神病質～サイコパス～, 2015-04-17, 20-168
169, 553, 狂った奏ちゃん, くるったかなでちゃん, 新月夜 奏, HR, 執着, 元気, 自, 狂乱, 大, 解き放たれた仮面, イベント報酬, 4, 精神病質～サイコパス～, 2015-04-27, 20-169
170, 557, 【絶愛】香澄＆鈴音, ぜつあい かすみ・すずね, N/A, HR, 束縛, 凶暴, 自, 狂乱, 中, 交わることのない愛憎劇, イベント報酬, 1, 精神病質～サイコパス～, 2015-04-27, 20-170
171, 558, オタ病み姫、美憂, おたやみひめ・みゆ, 本多 美憂, HR, 依存, 甘えん坊, 全, 攻UP, 中, 美憂はみんなのものなんだから！, 特別報酬, 2, 特典コードを入力, 2015-04-09, 20-171
172, 560, 代名 真糸, しろな まいと, 代名 真糸, R, 狂気, 活発, 全, 攻UP, 小, 恋のエクスプロージョン, イベント, 4, 主人公EDになる, 2015-04-30, 20-172
173, 564, 八峰 射子, はちみね やこ, 八峰 射子, R, 束縛, 乱暴, 敵全, 防DOWN, 小, 邪魔なら蜂の巣, イベント, 4, 主人公EDになる, 2015-04-30, 20-173
174, 568, 弾ける二人、真糸＆射子, はじけるふたり まいと・やこ, N/A, R, 束縛, ぷんぷん, 自, 狂乱, 中, 弾けさせる発想, イベント報酬, 1, 主人公EDになる, 2015-05-11, 20-174
175, 569, 跳足 日和, とびげ ひより, 跳足 日和, HR, 束縛, ドジ, 全, 防UP, 中, 死ぬまで仲良し跳び, イベント, 4, 主人公EDになる, 2015-04-30, 20-175
176, 573, 脅迫者、忘喰アキ, きょうはくしゃ ぼくらあき, 忘喰アキ, HR, 依存, 逆襲, 自, 攻UP, 大, スクープ！勃起不全, イベント報酬, 4, 主人公EDになる, 2015-05-11, 20-176
177, 577, 【制服】星野 麻衣美, せいふく ほしの まいみ, 星野 麻衣美, R, 執着, 甘えん坊, 自, 防UP, 中, 麻衣美の恩返し, バトル報酬, 4, 2015年05月バトルコンプ, 2015-05-03, 20-177
178, 581, 花辺 枝莉, はなべ えり, 花辺 枝莉, R, 依存, ドジ, 敵, 攻DOWN, 中, 愛言葉はイカリソウ, イベント, 4, おめでとうございます！ポケットティッシュです～商店街福引祭り～, 2015-05-14, 20-178
179, 585, 掬和戸 あかね, すくわこ あかね, 掬和戸 あかね, R, 執着, すきんしっぱー, 敵, 防DOWN, 中, スクワット吸引力ハッピー, イベント, 4, おめでとうございます！ポケットティッシュです～商店街福引祭り～, 2015-05-14, 20-179
180, 589, 【商店街】枝莉＆あかね, しょうてんがい えり・あかね, N/A, R, 束縛, バカ, 自, 防UP, 中, 商店街ヤンデレストリート, イベント報酬, 1, おめでとうございます！ポケットティッシュです～商店街福引祭り～, 2015-05-25, 20-180
181, 590, 工藤 恵里佳, くどう えりか, 工藤 恵里佳, HR, 依存, ツンデレ, 敵全, 防DOWN, 中, 元読モのプライドが許さない, イベント, 4, おめでとうございます！ポケットティッシュです～商店街福引祭り～, 2015-05-14, 20-181
182, 594, 面平 舞波, めんひら まなみ, 面平 舞波, HR, 狂気, 狡猾, 全, 狡猾, 大, 好きって言わなきゃ死んでやる！, イベント, 4, おめでとうございます！ポケットティッシュです～商店街福引祭り～, 2015-05-14, 20-182
183, 598, 湾野 一, わんの はじめ, 湾野 一, HR, 束縛, 甘えん坊, 自, 攻UP, 大, お兄ちゃん専用愛玩具, イベント報酬, 2, おめでとうございます！ポケットティッシュです～商店街福引祭り～, 2015-05-25, 20-183
184, 600, 【触手】稀空 夏帆, しょくしゅ まれそら かほ, 稀空 夏帆, R, 狂気, ドジ, 自, 防UP, 中, デビルフィッシュパニック, イベント, 4, 病み女子総選挙！部活動リーグ～第３部～, 2015-05-28, 20-184
185, 604, 【誘惑】菱魅 尚花, ゆうわく ひしみ なおか, 菱魅 尚花, R, 束縛, バカ, 敵, 防DOWN, 中, 生まれたままの私を見て！, イベント, 4, 病み女子総選挙！部活動リーグ～第３部～, 2015-05-28, 20-185
186, 608, 【再戦】深策＆布巻, さいせん ふかさく・ぬのまき, N/A, R, 執着, 腹黒, 自, 攻UP, 中, 絵路君は渡さない！, イベント報酬, 1, 病み女子総選挙！部活動リーグ～第３部～, 2015-06-08, 20-186
187, 609, 【制服】南雲のどか, せいふく なぐも のどか, 南雲 のどか, HR, 狂気, 活発, 敵, 攻DOWN, 大, 思い出すレインメモリアル, イベント, 4, 病み女子総選挙！部活動リーグ～第３部～, 2015-05-28, 20-187
188, 613, 円器 操, えんぎ みさお, 円器 操, HR, 依存, ぷんぷん, 自, 攻UP, 大, 魅惑のレオタード, イベント, 4, 病み女子総選挙！部活動リーグ～第３部～, 2015-05-28, 20-188
189, 617, 【窮地】深策 計, きゅうち ふかさく けい, 深策 計, HR, 執着, 献身, 敵全, 防DOWN, 大, 愛のカタチ病みのカタチ, イベント, 4, 病み女子総選挙！部活動リーグ～第３部～, 2015-05-28, 20-189
190, 621, 【復讐】布巻 帆釣, ふくしゅう ぬのまき ほつれ, 布巻 帆釣, HR, 狂気, 逆襲, 全, 狡猾, 大, 着ぐ研、布巻の恐ろしさ, イベント, 4, 病み女子総選挙！部活動リーグ～第３部～, 2015-05-28, 20-190
191, 625, 【上京】伏田 乃々華, じょうきょう ふしだ ののか, 伏田 乃々華, HR, 束縛, 活発, 敵全, 攻DOWN, 大, 駆け出しアイドル営業中！, イベント報酬, 4, 病み女子総選挙！部活動リーグ～第３部～, 2015-06-08, 20-191
192, 629, 双菜 離乃子, ふたな りのこ, 双菜 離乃子, HR, 執着, 甘えん坊, 自, 防UP, 大, お兄ちゃん、ミルクの時間だよ, バトル報酬, 4, 2015年06月バトルコンプ, 2015-06-03, 20-192
193, 633, 【ヤンタンク】楽谷, やんたんく がくや, 楽谷 音々, R, 依存, 乱暴, 敵, 攻DOWN, 中, 電流薄いよ、なにやってんの！, イベント, 4, 機動女子ヤンダム～解散危機攻略戦～, 2015-06-11, 20-193
194, 637, 【俗物嫌い】宇野, ぞくぶつぎらい うの, 宇野 優, R, 束縛, 抑圧ちゃん, 自, 攻UP, 中, この宇野、見くびっては困る！, イベント, 4, 機動女子ヤンダム～解散危機攻略戦～, 2015-06-11, 20-194
195, 641, 【ヤン研】光＆明日奈, やんけん ひかり・あすな, N/A, R, 執着, 怪奇, 自, 狡猾, 中, 粛清する・・病みだよそれは！, イベント報酬, 1, 機動女子ヤンダム～解散危機攻略戦～, 2015-06-22, 20-195
196, 642, 安室 光, あむろ ひかる, 安室 光, HR, 依存, バカ, 自, 攻UP, 大, ト病んザム！！, イベント, 4, 機動女子ヤンダム～解散危機攻略戦～, 2015-06-11, 20-196
197, 646, 四夜 明日奈, しや あすな, 四夜 明日奈, HR, 執着, 腹黒, 自, 狡猾, 大, 私もよくよく運のない女だな, イベント, 4, 機動女子ヤンダム～解散危機攻略戦～, 2015-06-11, 20-197
198, 650, 【トマホークピコハン】香澄, とまほーくぴこはん かすみ, 仁科 香澄, HR, 狂気, 凶暴, 全, 攻UP, 大, あえて言うよ、カスであると！, イベント報酬, 4, 機動女子ヤンダム～解散危機攻略戦～, 2015-06-22, 20-198
199, 654, 今井 空音, いまい くうね, 今井 空音, R, 執着, 元気, 自, 防UP, 中, 急行ブライダル, イベント, 4, 誰？～台所に立っている知らない女～, 2015-06-25, 20-199
200, 658, 娩桃 愛, うとう まな, 娩桃 愛, R, 狂気, 陰湿, 敵, 防DOWN, 中, 愛妻弁当〜ザーメンを添えて〜, イベント, 4, 誰？～台所に立っている知らない女～, 2015-06-25, 20-200
201, 662, 推掛 恵, おしか めぐみ, 推掛 恵, R, 依存, バカ, 全, 攻UP, 中, 脳内メルヘンプリンセス, イベント, 4, 誰？～台所に立っている知らない女～, 2015-06-25, 20-201
202, 666, 【おしかけ妻】恵&愛&空音, おしかけづま めぐみ・まな・くうね, N/A, R, 執着, 怪奇, 自, 狂乱, 中, 婚姻届出しといたからね？, イベント報酬, 1, 誰？～台所に立っている知らない女～, 2015-07-06, 20-202
203, 667, 双蓮 ミーナ, そうれん みーな, 双蓮 ミーナ, HR, 執着, 献身, 自, 狡猾, 大, ドメスティックガール, イベント, 4, 誰？～台所に立っている知らない女～, 2015-06-25, 20-203
